Serial,UUID,Code_Type,PDF_Page,PDF_Row,PDF_Column,Shelf_Page,Shelf_Row,Shelf_Column,Status
A1-1A,8eb94a96-886f-6655-b7fd-799d1cd1f216,QR,1,2,1,1,1,1,matched
A1-1B,60b94a96-89c5-145a-66bd-46277a142cd1,QR,1,2,3,1,1,2,matched
A1-1C,b4b94a96-8b3e-f0af-51d6-f850cbbd734b,QR,1,2,5,1,1,3,matched
A1-1D,60b94a96-8c85-b406-f594-72b5de3e99ef,QR,1,2,7,1,1,4,matched
A1-2A,2ab94a96-88b6-8707-3a58-bd1bff9f81e8,QR,1,1,1,1,2,1,matched
A1-2B,0eb94a96-8a29-a825-d9eb-52414d2c70d0,QR,1,1,3,1,2,2,matched
A1-2C,eab94a96-8b8b-5b44-5e30-a0df4b512b29,QR,1,1,5,1,2,3,matched
A1-2D,0cb94a96-8cd5-9f57-b7ab-bf795ed90784,QR,1,1,7,1,2,4,matched
A1-3A,feb94a96-88ff-8380-80c6-294ede0e7051,QR,1,2,2,1,3,1,matched
A1-3B,c2b94a96-8a7c-931e-d633-f5e826fe2434,QR,1,2,4,1,3,2,matched
A1-3C,3eb94a96-8bd8-f993-b362-af00f4da5bf7,QR,1,2,6,1,3,3,matched
A1-3D,f4b94a96-8d1d-b523-ea16-6055f2d1c9eb,QR,1,2,8,1,3,4,matched
A1-4A,c8b94a96-895d-fd85-6850-8a831895a997,QR,1,1,2,1,4,1,matched
A1-4B,c0b94a96-8aef-a286-ad9b-aea4120ffff7,QR,1,1,4,1,4,2,matched
A1-4C,e6b94a96-8c20-bffc-20f8-2d76ad3d2d68,QR,1,1,6,1,4,3,matched
A1-4D,b6b94a96-8d61-040a-3a79-3203bd03e9d8,QR,1,1,8,1,4,4,matched
A1-1E,f6b94a96-8dab-63b7-a8a7-f968dc74a016,QR,2,2,1,2,1,5,matched
A1-1G,9ab94a96-8ec6-07e1-5c5d-9e8af8c32c91,QR,2,2,3,2,1,7,matched
A1-1H,76b94a96-8fff-d27f-7653-bcf57497cb26,QR,2,2,5,2,1,8,matched
A1-1J,1cb94a96-913b-43a1-665f-1c76fe1a4c71,QR,2,2,7,2,1,10,matched
A1-1K,7ccbb20f-d1c7-0fec-78f6-7b0ef56272a9,Aztec,2,2,9,2,1,11,matched
A1-1L,bacbb20f-d228-f0a4-738c-56ea51c2ea4f,Aztec,2,2,10,2,1,12,matched
A1-2E,e2b94a96-8dee-737e-0440-c995a928fe57,QR,2,1,1,2,2,5,matched
A1-2G,6ab94a96-8f0d-ff79-dc16-cf6376d899f2,QR,2,1,3,2,2,7,matched
A1-2H,82b94a96-903e-ba0b-6a9e-f2b257ca32f6,QR,2,1,5,2,2,8,matched
A1-2J,32b94a96-917f-f452-c3b5-845ff9e9b3ba,QR,2,1,7,2,2,10,matched
A1-2K,62cbb20f-d286-ece0-7232-58fbbb7217ed,Aztec,2,1,9,2,2,11,matched
A1-2L,cccbb20f-d2d2-1c89-1427-3f63fa06ed64,Aztec,2,1,10,2,2,12,matched
A1-3E,bab94a96-8e34-e27c-f632-984d2132e172,QR,2,2,2,2,3,5,matched
A1-3G,2eb94a96-8f6c-b4b1-60be-5bbd9658c941,QR,2,2,4,2,3,7,matched
A1-3H,e6b94a96-908f-abb2-d5df-94b2ff0ec21c,QR,2,2,6,2,3,8,matched
A1-3J,c6b94a96-91de-e881-13af-a1e01833918a,QR,2,2,8,2,3,10,matched
A1-4E,20b94a96-8e7f-c089-c3dc-0dab57457d7c,QR,2,1,2,2,4,5,matched
A1-4G,00b94a96-8fbc-a5d2-12dd-6963c4320ebe,QR,2,1,4,2,4,7,matched
A1-4H,3ab94a96-90d8-8137-ab51-c94e25883ea1,QR,2,1,6,2,4,8,matched
A1-4J,90b94a96-9220-9000-952f-aa0113509aa9,QR,2,1,8,2,4,10,matched
A2-1A,60b94a96-9ae7-32f2-0048-f5fa513a3fa1,QR,3,2,1,3,1,1,matched
A2-1B,aab94a96-99a1-0ea3-d80c-8e484fab6f24,QR,3,2,3,3,1,2,matched
A2-1C,f8b94a96-986c-a549-092a-38a6bf0aef37,QR,3,2,5,3,1,3,matched
A2-1D,3eb94a96-9707-990c-753a-97fae84b2389,QR,3,2,7,3,1,4,matched
A2-2A,eeb94a96-9b31-d047-9cc4-ef6b1631db9b,QR,3,1,1,3,2,1,matched
A2-2B,60b94a96-99e8-09a0-830c-3096b734bca9,QR,3,1,3,3,2,2,matched
A2-2C,16b94a96-98b4-06ef-973b-8faa9441b152,QR,3,1,5,3,2,3,matched
A2-2D,22b94a96-9754-cc32-0d5e-66eb47bb339a,QR,3,1,7,3,2,4,matched
A2-3A,e6b94a96-9b76-da47-9bde-2bd570551c0f,QR,3,2,2,3,3,1,matched
A2-3B,d0b94a96-9a4e-4daa-0514-57b943e284ee,QR,3,2,4,3,3,2,matched
A2-3C,90b94a96-9904-7dc0-b2dc-ed71c0459847,QR,3,2,6,3,3,3,matched
A2-3D,e8b94a96-97b4-10cc-5c4d-d415fdc97797,QR,3,2,8,3,3,4,matched
A2-4A,e2b94a96-9bc0-b199-43ae-d1d7a1a97b7a,QR,3,1,2,3,4,1,matched
A2-4B,a0b94a96-9a9a-b05c-7c62-b9b309dea683,QR,3,1,4,3,4,2,matched
A2-4C,fcb94a96-9956-559e-3c26-e73f5b030cd1,QR,3,1,6,3,4,3,matched
A2-4D,e4b94a96-9804-d790-9afe-62335d8523df,QR,3,1,8,3,4,4,matched
A2-1E,dab94a96-95e9-c624-01d2-cdf2bb951b16,QR,4,2,1,4,1,5,matched
A2-1G,acb94a96-94b4-e1e5-fedb-c6483fc5e299,QR,4,2,3,4,1,7,matched
A2-1H,ecb94a96-9396-cc65-ceab-0fa7fe5ffbf2,QR,4,2,5,4,1,8,matched
A2-1J,eeb94a96-9269-eed3-bc5e-b213f3d5c6e9,QR,4,2,7,4,1,10,matched
A2-1K,40cbb20f-d2dd-79d3-88ad-b3febea4ac1d,Aztec,4,2,9,4,1,11,matched
A2-1L,e6cbb20f-d1c9-1cea-efc8-ade5cca6437b,Aztec,4,2,10,4,1,12,matched
A2-2E,fcb94a96-9631-0969-328b-cf5b06881c5f,QR,4,1,1,4,2,5,matched
A2-2G,3ab94a96-950c-3884-29ca-d280801bcf8c,QR,4,1,3,4,2,7,matched
A2-2H,48b94a96-93df-2062-d494-0d4b44d1e071,QR,4,1,5,4,2,8,matched
A2-2J,44b94a96-92ab-66f5-d5dd-99d32b7710e0,QR,4,1,7,4,2,10,matched
A2-2K,16cbb20f-d230-6753-9401-bb471d9272cb,Aztec,4,1,9,4,2,11,matched
A2-2L,3ecbb20f-d281-78fc-5064-1029215b730a,Aztec,4,1,10,4,2,12,matched
A2-3E,a6b94a96-9679-10e1-da1b-911b46aef82e,QR,4,2,2,4,3,5,matched
A2-3G,ceb94a96-954e-ef3f-c40f-fa0b001df6fe,QR,4,2,4,4,3,7,matched
A2-3H,b8b94a96-942a-67a2-9fea-69dcaf72cfd1,QR,4,2,6,4,3,8,matched
A2-3J,d6b94a96-92fc-bcd4-8627-4d6735ed1712,QR,4,2,8,4,3,10,matched
A2-4E,04b94a96-96c6-68d3-17d2-8d70670dc059,QR,4,1,2,4,4,5,matched
A2-4G,60b94a96-95a5-80c5-a92b-ccb764eecd99,QR,4,1,4,4,4,7,matched
A2-4H,46b94a96-9469-ddf1-9e00-816d4cac40cb,QR,4,1,6,4,4,8,matched
A2-4J,06b94a96-9352-8618-cc95-d2bbc14919e8,QR,4,1,8,4,4,10,matched
A3-1A,0eb94a96-9c09-03c4-55b1-a7cb76a809cc,QR,5,2,1,5,1,1,matched
A3-1B,2ab94a96-9d33-298b-73b9-a61d22bfaf0f,QR,5,2,3,5,1,2,matched
A3-1C,50b94a96-9e44-03d7-5fb5-e891e8e822c5,QR,5,2,5,5,1,3,matched
A3-1D,ceb94a96-9f7c-7548-3fe6-f230cb925650,QR,5,2,7,5,1,4,matched
A3-2A,d6b94a96-9c57-b14c-10ff-4f0fd3ba6c13,QR,5,1,1,5,2,1,matched
A3-2B,58b94a96-9d73-ae47-5a9b-8fbdee1c5ae2,QR,5,1,3,5,2,2,matched
A3-2C,0ab94a96-9e8c-bf78-eb8d-d5f0952e05ba,QR,5,1,5,5,2,3,matched
A3-2D,8eb94a96-9fc3-299c-f72a-b53bc1e59d62,QR,5,1,7,5,2,4,matched
A3-3A,34b94a96-9ca4-530c-248e-34f8422716ed,QR,5,2,2,5,3,1,matched
A3-3B,3cb94a96-9db5-6bfd-3af6-a8590c2873cb,QR,5,2,4,5,3,2,matched
A3-3C,7cb94a96-9ed0-2e32-98f8-8da4f5a6130d,QR,5,2,6,5,3,3,matched
A3-3D,72b94a96-a01f-50af-7c39-1a53a787e442,QR,5,2,8,5,3,4,matched
A3-4A,c2b94a96-9ce9-4c89-78c8-8e5aa0c6e97c,QR,5,1,2,5,4,1,matched
A3-4B,f6b94a96-9dfc-7070-db34-dd6c7c171dc5,QR,5,1,4,5,4,2,matched
A3-4C,30b94a96-9f32-4094-81ab-d7f2910b891d,QR,5,1,6,5,4,3,matched
A3-4D,20b94a96-a063-0745-81f4-1c58c3b95c3f,QR,5,1,8,5,4,4,matched
A3-1E,94b94a96-a0a9-229e-a736-0f6364d68ee3,QR,6,2,1,6,1,5,matched
A3-1G,bcb94a96-a1cb-d62b-c099-3adc65c40322,QR,6,2,3,6,1,7,matched
A3-1H,88b94a96-a2f9-27e9-5124-936987b9b34c,QR,6,2,5,6,1,8,matched
A3-1J,60b94a96-a474-e536-026e-fd54413d4cc3,QR,6,2,7,6,1,10,matched
A3-1K,92cbb20f-d28f-8f3a-a70c-2ac3db84d948,Aztec,6,2,9,6,1,11,matched
A3-1L,94cbb20f-d2e7-fd60-e55e-420da9677003,Aztec,6,2,10,6,1,12,matched
A3-2E,14b94a96-a0ed-001b-60a2-e9236e80d5b2,QR,6,1,1,6,2,5,matched
A3-2G,a0b94a96-a214-b874-ec6f-d782d256299b,QR,6,1,3,6,2,7,matched
A3-2H,82b94a96-a350-6869-ea29-a10b1233e08e,QR,6,1,5,6,2,8,matched
A3-2J,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,QR,6,1,7,6,2,10,matched
A3-2K,cccbb20f-d1d2-1c1c-8151-59a248224b27,Aztec,6,1,9,6,2,11,matched
A3-2L,f6cbb20f-d22c-bd5f-c26c-f3ad8ca36e0f,Aztec,6,1,10,6,2,12,matched
